//curated.csv — rough idea dropbox. Not ready to promote directly.
//staging.csv is the promotion-ready file.
//⚠ Validate emoji uniqueness against encounters.csv before promoting anything
//⚠ "Shrouded Vale" in threats.csv = Shrouded Necropolis (earlier working name)
//⚠ "Wildland Meadows" in threats.csv = Fading Wildlands (earlier working name)
//⚠ Origins go to origins.csv, not encounters.csv

🐴🦌🐅🐆🐪🐫🦒🦓 pets to add

 🐘 🦣 🦏  🐊  🦬  🦡 🐓 🦃 🦢 🪿 🦤 🦜

// ============================================================
// ORIGINS (origins.csv format: emoji;name;hp;atk;sta;lck;int;mgk;def;desc;achiev)
// ============================================================

//Achievement-gated / special
👾;Invader;0;0;0;0;0;0;0;???.<br><i>Simply cannot leave any corner unexplored.</i>;all_achievements
⏳;Eternal;0;0;0;0;0;0;0;The action bar prompt moves 20% slower.<br><i>???</i>;hardcore_win

//Mana-unlockable origins
🪬;Lich;-2;0;0;0;0;2;0;Gain <b>+2 🔵 Mana</b>, suffer <b>-2 💔 Health</b>.<br><i>Traded the life essence for pure power.</i>;mana_first
🕯️;Hexer;0;-1;0;0;0;2;0;Gain <b>+2 🔵 Mana</b>, suffer <b>-1 ⚔️ Attack</b>.<br><i>Chosen magic over physical strength.</i>;mana_first
🩸;Warlock;-1;0;0;0;0;1;0;Gain <b>+1 🔵 Mana</b>, suffer <b>-1 💔 Health</b>.<br><i>Blood is just another reagent.</i>;mana_first

//INT-focused
👁️;Prophet;-2;0;0;0;4;0;0;Gain <b>+4 🧠 Intellect</b>, suffer <b>-2 💔 Health</b>.<br><i>Learned through willingness to suffer.</i>;none
🔭;Seeker;0;0;-2;0;3;0;0;Gain <b>+3 🧠 Intellect</b>, suffer <b>-2 🟢 Energy</b>.<br><i>Spent all his vigor searching.</i>;none
⛓️‍💥;Fugitive;0;0;0;-2;2;0;0;Gain <b>+2 🧠 Intellect</b> and <b>-2 🍀 Luck</b>.<br><i>Luck favors the well prepared.</i>;none

//ATK-focused
⚔️;Knight;0;1;-1;0;0;0;0;Gain <b>+1 ⚔️ Attack</b>, suffer <b>-1 🟢 Energy</b>.<br><i>Prefers high damage over agility.</i>;none
🐍;Serpent;-2;1;0;0;0;0;0;Gain <b>+1 ⚔️ Attack</b>, suffer <b>-2 💔 Health</b>.<br><i>Deadly dangerous but for a price.</i>;none
🩹;Cripple;-2;0;0;3;0;0;0;Gain <b>+4 🍀 Luck</b>, sacrifice <b>-2 💔 Health</b>.<br><i>Suffering was the only prayer that worked.</i>;none

//Generated pool (good batch, needs achiev column added)
🌑;Void;0;-2;0;0;0;3;0;Gain <b>+3 🔵 Mana</b>, sacrifice <b>-2 ⚔️ Attack</b>.<br><i>Gave up the blade. Found something worse.</i>;none
⛓️;Condemned;-1;2;0;-2;0;0;0;Chains only made the rage worse.<br>Gain <b>+2 ⚔️ Attack</b>, sacrifice <b>-1 💔 Health</b> and <b>-2 🍀 Luck</b>.;none
🩺;Mender;2;0;0;0;0;-1;0;Gain <b>+2 ❤️ Health</b>, sacrifice <b>-1 🔵 Mana</b>.<br><i>The gift of healing, drawn from the marrow.</i>;none
🥀;Blighted;-2;0;0;0;0;4;0;Gain <b>+4 🔵 Mana</b>, suffer <b>-2 💔 Health</b>.<br><i>A terrible power blooming from rot.</i>;none
🪦;Gravedigger;-1;0;0;2;1;0;0;Gain <b>+2 🍀 Luck</b> and <b>+1 🧠 Intellect</b>, sacrifice <b>-1 💔 Health</b>.;none
🕰️;Ancient;0;0;-2;1;2;0;0;Gain <b>+2 🧠 Intellect</b> and <b>+1 🍀 Luck</b>, sacrifice <b>-2 🟢 Energy</b>.;none
🏚️;Hermit;0;0;-2;0;4;0;0;Gain <b>+4 🧠 Intellect</b>, suffer <b>-2 🟢 Energy</b>.<br><i>Decades of silence sharpen the mind.</i>;none
🌑;Exile;0;0;2;0;0;-2;0;Gain <b>+2 🟢 Energy</b>, suffer <b>-2 🔵 Mana</b>.<br><i>Banished for having no spark.</i>;none
💀;Vessel;-2;0;0;4;0;0;0;Gain <b>+4 🍀 Luck</b>, suffer <b>-2 💔 Health</b>.<br><i>The spirits demand a fragile host.</i>;none

//Neutral starting origins (no stat bonus/penalty — flavor only)
🌾;Commoner;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>The most dangerous thing is being average.</i>;none

// ============================================================
// FADING WILDLANDS — new variety content
// ============================================================

//New Standard enemies
Fading Wildlands;🦫;Gnarltooth Gnawer;Standard;2;1;1;0;2;0;0;Wild Beast;Builds dams, then stares downstream like it hears cries.<br>;Dragged you to a dam of bones.;none
Fading Wildlands;🐑;Uneasy Ewe;Standard;2;0;1;0;10;0;0;Domestic Animal;Keeps edging away from the village, not you.<br>;Head-butted to death.;none
Fading Wildlands;🐐;Bramblehorn Goat;Standard;2;1;1;0;10;0;0;Wild Beast;Keeps its back to the river, eyes on you.<br>;Impaled by its horns.;none

//Typed enemies
Fading Wildlands;🦨;Blightscent Skunk;Toxic;2;0;2;0;1;0;0;Wild Animal;Tail twitching toward the wind from downstream.<br>;Suffered a terrible stench.;none
Fading Wildlands;🦆;Riverscorn Duck;Swift;1;1;2;0;0;0;0;Wild Animal;Snaps at ankles, then glares toward the distant current.<br>;Defeated by an angry bird.;none
Fading Wildlands;🐄;Bristlehorn Cow;Heavy;3;0;1;0;1;0;0;Domestic Animal;Docile until pushed, then terrifyingly solid.<br>;Impaled by its horns.;none
Fading Wildlands;🦌;Edgewatch Stag;Heavy;2;0;2;0;3;0;0;Wild Animal;Hooves planted between green fields and gloom.<br>;Rammed till the last breath.;none

//Pets
Fading Wildlands;🦦;Troublemirth Otter;Pet;1;1;1;0;0;0;0;Playful Critter;Splashes happily, but never in still water.<br>;Slipped into your party.;none
Fading Wildlands;🐈;Field-Stalker Cat;Pet;1;0;2;0;0;0;0;Cute Animal;Eyes fixed on a horizon you can't yet see.<br>;Something followed you.;none
Fading Wildlands;🐞;Wanderlost Ladybug;Pet;1;0;1;1;0;0;0;Peculiar Insect;Crawls in circles on your gauntlet like a ward.<br>;Followed without asking.;none
Fading Wildlands;🕊️;Harbinger Dove;Pet;1;0;2;1;0;0;0;Symbol of Peace;Lands only where the ground still feels kind.<br>;Follows your shadow.;none

//Bosses
Fading Wildlands;🪿;Unruly Goose;Boss-Pet;1;1;3;0;2;0;0;Feathered Menace;Guards the last peaceful water like a tyrant.<br>;Honked its way into your party.;none
Fading Wildlands;🦢;Pond Sovereign;Boss-Standard;2;2;2;0;3;0;0;Feathered Fury;Graceful surface, heavy eyes that know what's coming.<br>;Choked by the long neck.;none
Fading Wildlands;🐗;Broodguard Sow;Boss-Heavy;2;2;1;0;-1;0;0;Wild Animal;Keeps her young far from the river's pull.<br>;Got torn apart by tusks.;none
Fading Wildlands;🐂;Spent Plowbull;Boss-Heavy;3;0;1;0;1;0;0;Domestic Animal;Too tired to go on, too stubborn to flee the coming dark.<br>;Got impaled by both horns at once.;none

//Positive traps (TODOs: "increment meadows data")
Fading Wildlands;🎯;Training Dummy;Trap-Attack;0;1;0;0;0;0;0;Practice Spot;Perfect for a few good swings.<br>;Your strikes feel more precise.;none
Fading Wildlands;🏹;Archery Marker;Trap-Attack;0;1;0;0;0;0;0;Ranged Practice;Old target line still stands.<br>;Hands remember better aim now.;none
Fading Wildlands;💧;Clear Spring;Trap-Sleep;1;0;0;0;0;0;0;Fresh Water;Cold and clean to rest by.<br>;You wake feeling refreshed.;none
Fading Wildlands;🌾;Soft Haypile;Trap-Sleep;1;0;0;0;0;0;0;Makeshift Bed;Dry and pleasantly warm.<br>;Sleep came easy and gentle.;none

//Negative traps
Fading Wildlands;🪤;Rusty Snare;Trap-Big;-2;0;0;0;0;0;0;Old Trap;Hidden in the tall grass.<br>;Leg caught, bones nearly snapped.;none
Fading Wildlands;🌫️;Low Mist Patch;Trap-Sleep;-1;0;0;0;0;0;0;Dense Fog;Settles heavy on your chest.<br>;Rest was shallow and painful.;none
Fading Wildlands;🪞;Still Reflection;Trap-Sleep;-2;0;0;-1;0;0;0;Distorted Vision;Your face blinks back at you.<br>;Woke with someone else's thoughts.;none

//Friend
Forsaken Village;👵;Grieving Widow;Friend;0;0;0;0;0;0;0;Hopeless Person;Sits on a porch with an empty chair beside her.<br>;You joined her silent mourning.;none
Forsaken Village;🧙;Wandering Hermit;Friend;0;1;0;0;1;0;0;Wise Elder;Mumbles truths only he knows.<br>;Shared something useful.;none

// ============================================================
// FORSAKEN VILLAGE — type gaps (Reflective, Toxic, Stingy, Tough, Hot)
// ============================================================

Forsaken Village;🐉;Glassscale Wyrmling;Reflective;3;4;2;0;0;0;0;Reflective Beast;Tiny dragon, hide like mirrors stitched together.<br>;Reflected magic sliced you open.;none
